,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
241,bing,False,InvertColor,,,alexnet,google,30/70,0.7965,0.8835705,0.683,0.7704456
242,bing,False,InvertColor,,,alexnet,google,40/60,0.7885,0.8862115,0.662,0.7578706
243,bing,False,InvertColor,,,alexnet,google,50/50,0.75650007,0.91572124,0.565,0.698825
244,bing,False,InvertColor,,,resnet,google,20/80,0.845,0.82182837,0.881,0.8503861
245,bing,False,InvertColor,,,resnet,google,30/70,0.827,0.94550407,0.694,0.80046135
246,bing,False,InvertColor,,,resnet,google,40/60,0.80850005,0.92906815,0.668,0.77719605
247,bing,False,InvertColor,,,resnet,google,50/50,0.77250004,0.95190716,0.574,0.7161572
248,bing,False,InvertColor,,,vgg,google,20/80,0.8615,0.8817318,0.835,0.85772985
249,bing,False,InvertColor,,,vgg,google,30/70,0.84000003,0.93367344,0.732,0.8206278
250,bing,False,InvertColor,,,vgg,google,40/60,0.776,0.95695364,0.578,0.7206983
251,bing,False,InvertColor,,,vgg,google,50/50,0.72050005,0.9762419,0.452,0.6179084
252,bing,False,RandomBlackBox,,,alexnet,bing,20/80,0.91050005,0.8742024,0.959,0.91463995
253,bing,False,RandomBlackBox,,,alexnet,bing,30/70,0.91850007,0.9240122,0.912,0.91796684
254,bing,False,RandomBlackBox,,,alexnet,bing,40/60,0.91400003,0.9461207,0.878,0.91078836
255,bing,False,RandomBlackBox,,,alexnet,bing,50/50,0.92550004,0.9337411,0.916,0.9247855
256,bing,False,RandomBlackBox,,,resnet,bing,20/80,0.92600006,0.8817204,0.984,0.9300567
257,bing,False,RandomBlackBox,,,resnet,bing,30/70,0.957,0.951581,0.963,0.9572564
258,bing,False,RandomBlackBox,,,resnet,bing,40/60,0.9480001,0.9590164,0.936,0.9473684
259,bing,False,RandomBlackBox,,,resnet,bing,50/50,0.95500004,0.9478347,0.963,0.95535713
260,bing,False,RandomBlackBox,,,vgg,bing,20/80,0.96500003,0.94201523,0.991,0.96588695
261,bing,False,RandomBlackBox,,,vgg,bing,30/70,0.96400005,0.9452975,0.985,0.9647404
262,bing,False,RandomBlackBox,,,vgg,bing,40/60,0.966,0.9650699,0.967,0.966034
263,bing,False,RandomBlackBox,,,vgg,bing,50/50,0.96750003,0.96517414,0.97,0.96758103
264,bing,False,RandomBlackBox,,,alexnet,ddg,20/80,0.90300006,0.8617594,0.96,0.90823084
265,bing,False,RandomBlackBox,,,alexnet,ddg,30/70,0.92,0.9125737,0.929,0.9207136
266,bing,False,RandomBlackBox,,,alexnet,ddg,40/60,0.929,0.9478079,0.908,0.927477
267,bing,False,RandomBlackBox,,,alexnet,ddg,50/50,0.92550004,0.9200395,0.932,0.9259811
268,bing,False,RandomBlackBox,,,resnet,ddg,20/80,0.93350005,0.8995392,0.976,0.93621105
269,bing,False,RandomBlackBox,,,resnet,ddg,30/70,0.95300007,0.94586617,0.961,0.953373
270,bing,False,RandomBlackBox,,,resnet,ddg,40/60,0.9495,0.9746568,0.923,0.9481253
271,bing,False,RandomBlackBox,,,resnet,ddg,50/50,0.95550007,0.950544,0.961,0.95574343
272,bing,False,RandomBlackBox,,,vgg,ddg,20/80,0.952,0.919295,0.991,0.95380175
273,bing,False,RandomBlackBox,,,vgg,ddg,30/70,0.96750003,0.9499519,0.987,0.96812165
274,bing,False,RandomBlackBox,,,vgg,ddg,40/60,0.96900004,0.9699399,0.968,0.9689689
275,bing,False,RandomBlackBox,,,vgg,ddg,50/50,0.9710001,0.965415,0.977,0.971173
276,bing,False,RandomBlackBox,,,alexnet,google,20/80,0.9110001,0.8722826,0.963,0.91539925
277,bing,False,RandomBlackBox,,,alexnet,google,30/70,0.919,0.9005736,0.942,0.9208211
278,bing,False,RandomBlackBox,,,alexnet,google,40/60,0.92450005,0.91333985,0.938,0.92550576
279,bing,False,RandomBlackBox,,,alexnet,google,50/50,0.93050003,0.92666006,0.935,0.9308114
280,bing,False,RandomBlackBox,,,resnet,google,20/80,0.93200004,0.88779175,0.989,0.93566704
281,bing,False,RandomBlackBox,,,resnet,google,30/70,0.95550007,0.95323384,0.958,0.95561093
282,bing,False,RandomBlackBox,,,resnet,google,40/60,0.95250005,0.95114654,0.954,0.9525711
283,bing,False,RandomBlackBox,,,resnet,google,50/50,0.9595001,0.9683996,0.95,0.9591115
284,bing,False,RandomBlackBox,,,vgg,google,20/80,0.9620001,0.9358491,0.992,0.9631068
285,bing,False,RandomBlackBox,,,vgg,google,30/70,0.966,0.9463602,0.988,0.9667319
286,bing,False,RandomBlackBox,,,vgg,google,40/60,0.97050005,0.964462,0.977,0.9706904
287,bing,False,RandomBlackBox,,,vgg,google,50/50,0.97,0.9757085,0.964,0.96981895
288,bing,False,SaltPepper,,,alexnet,bing,20/80,0.6865,0.62508386,0.932,0.7482938
289,bing,False,SaltPepper,,,alexnet,bing,30/70,0.661,0.600625,0.961,0.73923075
290,bing,False,SaltPepper,,,alexnet,bing,40/60,0.711,0.6433424,0.947,0.76618123
291,bing,False,SaltPepper,,,alexnet,bing,50/50,0.7735,0.80973953,0.715,0.7594265
292,bing,False,SaltPepper,,,resnet,bing,20/80,0.7465,0.7218722,0.802,0.7598295
293,bing,False,SaltPepper,,,resnet,bing,30/70,0.72050005,0.65387297,0.937,0.77024245
294,bing,False,SaltPepper,,,resnet,bing,40/60,0.73350006,0.85540336,0.562,0.67833436
